year,scenario,p_index
2000,sage0_mod,0.514
2001,sage0_mod,0.207
2002,sage0_mod,0.367
2003,sage0_mod,0.337
2004,sage0_mod,0.2396
2005,sage0_mod,0.2864
2006,sage0_mod,0.817
2007,sage0_mod,0.3257
2008,sage0_mod,1.186
2009,sage0_mod,0.168
2010,sage0_mod,0.748
2011,sage0_mod,0.963
2012,sage0_mod,0.454
2013,sage0_mod,1.213
2014,sage0_mod,0.223
2015,sage0_mod,0.308
2016,sage0_mod,0.219
2017,sage0_mod,0.1377
2018,sage0_mod,0.753
2019,sage0_mod,0.229
2020,sage0_mod,0.412
2021,sage0_mod,0.51
2003,sage1_mod,0.2596
2004,sage1_mod,0.2387
2005,sage1_mod,0.1696
2006,sage1_mod,0.2027
2007,sage1_mod,0.578
2008,sage1_mod,0.23
2009,sage1_mod,0.84
2010,sage1_mod,0.119
2011,sage1_mod,0.5295
2012,sage1_mod,0.682
2013,sage1_mod,0.3217
2014,sage1_mod,0.859
2015,sage1_mod,0.158
2016,sage1_mod,0.218
2017,sage1_mod,0.155
2018,sage1_mod,0.0975
2019,sage1_mod,0.533
2020,sage1_mod,0.162
2021,sage1_mod,0.292
2003,sage1_comps,0.16305
2004,sage1_comps,0.13057
2005,sage1_comps,0.14843
2006,sage1_comps,0.33686
2007,sage1_comps,0.6646
2008,sage1_comps,0.21269
2009,sage1_comps,0.47576
2010,sage1_comps,0.04735
2011,sage1_comps,0.29691
2012,sage1_comps,0.36674
2013,sage1_comps,0.10118
2014,sage1_comps,0.27978
2015,sage1_comps,0.05862
2016,sage1_comps,0.0858
2017,sage1_comps,0.10766
2018,sage1_comps,0.0727
2019,sage1_comps,0.57344
