"column_label","typeName","id","parentID","origID","startTime","time","horizType","vertType","horizPos1","horizPos2","vertPos","bathym","gridCellID","track","active","alive","age","ageInStage","number","attached","SL","DW","ageFromYSL","stmsta","psurvival","mortfish","mortinv","mortstarv","dwmax","avgRank","avgSize","stomachFullness","pCO2val","grSL","grDW","temp","sal","rho","copepod","euphausiid","euphausiidShelf","neocalanus","neocalanusShelf","microzoo","eps","eb","ebtwozero","progYSA","progPNR","prNotFed","time_id","n_stage","hsi","TL","WW","grTL","grWW","sizePoint","time2","year","id2"
"1","YSL",73,73,73,2009-03-01,2009-04-01 12:00:00,2,2,-170.16667,56.45883,-326.18675,326.18675,"80_89","-170.16667:56.45883:-326.18675;",TRUE,TRUE,31.5,0,430863.24491,TRUE,6.08625,0.42505,0,0.00765,1e+06,0,0,0,0.42505,0,0,0,0,0.19277,0.08906,3.71033,33.29689,0,0.00211,0.00138,0.00137,0.00112,6e-05,0,0,0,0,0,0,1,1238587200,2,NA,NA,NA,NA,NA,1,"2009-04-01 12h",2009,"2009-73"
"1","YSL",73,73,73,2009-03-01,2009-04-01 16:00:00,2,2,-170.16632,56.45785,-327.10493,327.10493,"80_89","-170.16667:56.45883:-326.18675;-170.16632:56.45785:-327.10493;",TRUE,TRUE,31.66667,0.16667,429223.79197,FALSE,6.08625,0.42895,0.16667,0.00772,996194.95753,0,0.26474,0,0.42895,0,0,1,712.74614,0,0,3.71569,33.30412,0,0.00213,0.00138,0.00137,0.00113,7e-05,0,0,320874.40232,0.08475,0.02703,0.00768,1,1238601600,2,NA,NA,NA,NA,NA,1,"2009-04-01 16h",2009,"2009-73"
"1","YSL",73,73,73,2009-03-01,2009-04-01 20:00:00,2,2,-170.16589,56.45848,-322.85654,326.352,"80_89","-170.16632:56.45785:-327.10493;-170.16589:56.45848:-322.85654;",TRUE,TRUE,31.83333,0.33333,427590.57721,FALSE,6.10497,0.43289,0.33333,0.00779,992404.3934,0,0.26474,0,0.43289,0,0,1,713.16798,0.01871,0,3.71582,33.30196,0,0.00215,0.00139,0.00138,0.00114,7e-05,0,0,548119.62541,0.08474,0.05405,0.01536,1,1238616000,2,NA,NA,NA,NA,NA,1,"2009-04-01 20h",2009,"2009-73"
"1","YSL",73,73,73,2009-03-01,2009-04-02 04:00:00,2,2,-170.16409,56.45772,-320.94764,326.67021,"80_89","-170.16496:56.45788:-321.93865;-170.16409:56.45772:-320.94764;",TRUE,TRUE,32.16667,0.66667,424362.07359,FALSE,6.14257,0.44087,0.66667,0.00794,984911.28821,0,0.26264,0,0.44087,0,0,1,713.13577,0.01883,0,3.71616,33.30289,0,0.00214,0.00139,0.00138,0.00114,7e-05,0,0,5340.60626,0.08475,0.10811,0.03071,1,1238644800,2,NA,NA,NA,NA,NA,1,"2009-04-02 04h",2009,"2009-73"
"1","YSL",73,73,73,2009-03-01,2009-04-02 08:00:00,2,2,-170.1632,56.4568,-319.30371,327.38494,"80_89","-170.16409:56.45772:-320.94764;-170.1632:56.4568:-319.30371;",TRUE,TRUE,32.33333,0.83333,422766.54061,FALSE,6.16146,0.44491,0.83333,0.00801,981208.18055,0,0.26159,0,0.44491,0,0,1,713.19409,0.01889,0,3.7163,33.30496,0,0.00214,0.00139,0.00138,0.00114,7e-05,0,0,4119.443,0.08475,0.13514,0.03839,1,1238659200,2,NA,NA,NA,NA,NA,1,"2009-04-02 08h",2009,"2009-73"
"1","YSL",73,73,73,2009-03-01,2009-04-02 12:00:00,2,2,-170.16292,56.45651,-319.00698,327.6092,"80_89","-170.1632:56.4568:-319.30371;-170.16292:56.45651:-319.00698;",TRUE,TRUE,32.5,1,421183.32655,FALSE,6.18041,0.44899,1,0.00808,977533.66415,0,0.26055,0,0.44899,0,0,1,713.5825,0.01895,0,3.71634,33.30561,0,0.00215,0.00139,0.00138,0.00114,7e-05,0,0,339278.31353,0.08475,0.16217,0.04607,1,1238673600,2,NA,NA,NA,NA,NA,1,"2009-04-02 12h",2009,"2009-73"
"1","YSL",73,73,73,2009-03-01,2009-04-02 16:00:00,2,2,-170.16208,56.45665,-317.40484,327.2486,"80_89","-170.16292:56.45651:-319.00698;-170.16208:56.45665:-317.40484;",TRUE,TRUE,32.66667,1.16667,419612.31291,FALSE,6.19941,0.45311,1.16667,0.00816,973887.46397,0,0.25951,0,0.45311,0,0,1,715.35523,0.01901,0,3.72194,33.30901,0,0.00218,0.0014,0.00139,0.00116,8e-05,0,0,1100187.05866,0.08472,0.18924,0.05375,1,1238688000,2,NA,NA,NA,NA,NA,1,"2009-04-02 16h",2009,"2009-73"
"1","YSL",73,73,73,2009-03-01,2009-04-02 20:00:00,2,2,-170.16243,56.45712,-315.28712,326.85844,"80_89","-170.16208:56.45665:-317.40484;-170.16243:56.45712:-315.28712;",TRUE,TRUE,32.83333,1.33333,418053.38248,FALSE,6.2185,0.45728,1.33333,0.00823,970269.30798,0,0.25848,0,0.45728,0,0,1,715.29231,0.01908,0,3.72189,33.30794,0,0.00217,0.0014,0.00139,0.00116,8e-05,0,0,548056.06251,0.08472,0.21631,0.06143,1,1238702400,2,NA,NA,NA,NA,NA,1,"2009-04-02 20h",2009,"2009-73"
"1","YSL",73,73,73,2009-03-01,2009-04-03 04:00:00,2,2,-170.16212,56.45662,-316.49989,327.29261,"80_89","-170.16151:56.45668:-314.5458;-170.16212:56.45662:-316.49989;",TRUE,TRUE,33.16667,1.66667,414971.32906,FALSE,6.25684,0.46571,1.66667,0.00838,963116.10229,0,0.25642,0,0.46571,0,0,1,715.27822,0.0192,0,3.72193,33.30913,0,0.00217,0.00139,0.00139,0.00116,8e-05,0,0,4358.5718,0.08472,0.27044,0.0768,1,1238731200,2,NA,NA,NA,NA,NA,1,"2009-04-03 04h",2009,"2009-73"
"1","YSL",73,73,73,2009-03-01,2009-04-03 08:00:00,2,2,-170.16186,56.45634,-314.71046,327.51624,"80_89","-170.16212:56.45662:-316.49989;-170.16186:56.45634:-314.71046;",TRUE,TRUE,33.33333,1.83333,413447.97803,FALSE,6.27611,0.46999,1.83333,0.00846,959580.52331,0,0.2554,0,0.46999,0,0,1,715.3059,0.01926,0,3.72198,33.30975,0,0.00217,0.0014,0.00139,0.00116,8e-05,0,0,9928.89378,0.08472,0.29751,0.08448,1,1238745600,2,NA,NA,NA,NA,NA,1,"2009-04-03 08h",2009,"2009-73"
"1","YSL",73,73,73,2009-03-01,2009-04-03 12:00:00,2,2,-170.16143,56.45671,-314.01658,327.0274,"80_89","-170.16186:56.45634:-314.71046;-170.16143:56.45671:-314.01658;",TRUE,TRUE,33.5,2,411936.26088,FALSE,6.29543,0.47431,2,0.00854,956071.94565,0,0.25438,0,0.47431,0,0,1,715.41649,0.01932,0,3.7221,33.30841,0,0.00218,0.0014,0.00139,0.00116,8e-05,0,0,437304.18618,0.08472,0.32458,0.09217,1,1238760000,2,NA,NA,NA,NA,NA,1,"2009-04-03 12h",2009,"2009-73"
